from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
Vilna,Warsaw,1933,not mentioned,Joined Polish army after graduating medical school,10644.txt,54.6870458,25.2829111,,
Warsaw,Bialystok,1933,not mentioned,Assigned as a doctor in a regiment stationed in Bialystok,10644.txt,,,,
Bialystok,Miedzyrzec (Mezritch),1937,not mentioned,Became chief of obstetrics and gynecology at a Jewish hospital,10644.txt,,,,
Miedzyrzec (Mezritch),Kaunas,June 1941,not mentioned,"Went to marry his fiancée, Sacha",10644.txt,,,54.8982139,23.9044817
Kaunas,Riga (Spilwe),September 1942,train,Volunteered to join transport to reunite with wife who had been taken earlier,10644.txt,54.8982139,23.9044817,,
Spilwe,Kaiserwald concentration camp,September 1944,truck,Camp evacuated as Russians approached,10644.txt,,,56.9962678,24.1324053
Kaiserwald,Stutthof concentration camp,October 1944,boat,Transferred as part of camp evacuation,10644.txt,57.001796,24.1574993,53.4460185,19.9190456
Stutthof,Danzig,November 1944,not mentioned,Sent to work in the port of Danzig,10644.txt,54.330086,19.177209,,
Danzig,Laumberg (Pommern),"February 8, 1945",forced march,Evacuated due to advancing Russian forces,10644.txt,,,,
Laumberg,Berlin,mid-1945,not mentioned,Moved westward after liberation,10644.txt,,,,
Berlin,Hanover,mid-1945,truck,Transferred by United Nations Relief Organization to western zone,10644.txt,,,52.3744779,9.7385532
Hanover,Eckernforde,mid-1945,not mentioned,"Went to find his wife, discovered she had died",10644.txt,52.3744779,9.7385532,54.4716456,9.8374947
Eckernforde,Munich,mid-1945,not mentioned,Moved to Munich to join Jewish community and work at University Hospital,10644.txt,54.4716456,9.8374947,48.1371079,11.5753822
Munich,"New York, USA",1951,not mentioned,Emigrated to the United States,10644.txt,48.1371079,11.5753822,40.7127281,-74.0060152
New York,"Los Angeles, California",after 1987,not mentioned,Moved after retirement,10644.txt,40.7127281,-74.0060152,34.0536909,-118.242766
"Warsaw, Poland","Majdanek concentration camp, Lublin, Poland",1942-1943,Truck and train,Deportation by Nazis after being captured in Warsaw,10698.txt,,,51.2216932,22.5975039
Majdanek concentration camp,"Skarzyska-Kamienna labor camp, Poland",1943,Train,Transferred to work in ammunition factory,10698.txt,51.2216932,22.5975039,,
Skarzyska-Kamienna labor camp,"Czestochowa labor camp (Hasag), Poland",1944,Train,Transferred to another labor camp,10698.txt,,,,
Czestochowa labor camp,"Ravensbrück concentration camp, Germany","January 16, 1945",Train,Evacuation due to approaching Russian front,10698.txt,,,,
Ravensbrück concentration camp,"Burgau concentration camp, Germany",Early 1945,Train,Transferred to smaller camp,10698.txt,,,,
Burgau concentration camp,"Türkheim concentration camp, Germany",Early 1945,Train,Transferred to another smaller camp,10698.txt,,,,
Türkheim concentration camp,"Dachau concentration camp, Germany",April 1945,Forced march (death march),Evacuation as Allies approached,10698.txt,,,47.6978718,10.3244047
Dachau concentration camp,"Berlin, Germany","After liberation, late April or May 1945",Not specified,Resettlement after liberation,10698.txt,47.6978718,10.3244047,52.510885,13.3989367
"Berlin, Germany","Bremen, Germany",April 1948,Not specified,Travel to port city to emigrate to the United States,10698.txt,52.510885,13.3989367,,
"Bremen, Germany","New York, USA","April 10, 1948",Ship (Marlin or Marlene),Immigration to join family in the United States,10698.txt,,,40.7127281,-74.0060152
"New York, USA","Vineland, New Jersey, USA",1953,Not specified,Moved to farm for better living conditions,10698.txt,40.7127281,-74.0060152,39.4862777,-75.0254256
"Vineland, New Jersey, USA","Ventnor, New Jersey, USA",1966,Not specified,Sold farm and moved to outskirts of Atlantic City,10698.txt,39.4862777,-75.0254256,39.3405045,-74.4773916
"Ventnor, New Jersey, USA","Irvine, California, USA",After 1966 (exact date not specified),Not specified,Moved to be closer to son and for better climate,10698.txt,39.3405045,-74.4773916,33.6856969,-117.825981
"Metz, France","Sarreguemines, France",around 1931,,Family moved to Sarreguemines where Freda grew up,10699.txt,49.1196964,6.1763552,49.1094836,7.0708865
"Sarreguemines, France",interior of France (unspecified location),1938,,Fear of war outbreak after Hitler moved into Czechoslovakia,10699.txt,49.1094836,7.0708865,,
interior of France (unspecified location),"Sarreguemines, France",1938 (six weeks later),,Returned home as war did not break out immediately,10699.txt,,,49.1094836,7.0708865
"Sarreguemines, France","Blamont, France",September 1939,car,Evacuation due to war outbreak and proximity to German border,10699.txt,49.1094836,7.0708865,,
"Blamont, France","Vichy, France",June 1940,company van,Fleeing German invasion of France,10699.txt,,,46.1239268,3.4203712
"Vichy, France","Saint-Etienne, France",June 1940,,Seeking safer location and opportunities for work,10699.txt,46.1239268,3.4203712,45.4401467,4.3873058
"Saint-Etienne, France","Le Puy, Haute-Loire, France",1940-1944 (multiple trips),train and bicycle,To barter goods for food in the countryside,10699.txt,45.4401467,4.3873058,45.0459739,3.8855537
"Saint-Etienne, France","Drancy, France","May 26, 1944",train,Arrested and deported by Gestapo and Milice,10699.txt,45.4401467,4.3873058,48.9229803,2.4455201
"Drancy, France","Auschwitz-Birkenau, Poland","May 30, 1944",train (cattle cars),Deportation to concentration camp,10699.txt,48.9229803,2.4455201,50.0346203,19.1807846
"Auschwitz-Birkenau, Poland","Bergen-Belsen, Germany","October 31, 1944",train,Transferred to another concentration camp,10699.txt,50.0346203,19.1807846,52.7580569,9.9117992
"Bergen-Belsen, Germany","Raguhn, Germany",February 1945,train,Transferred to forced labor camp,10699.txt,52.7580569,9.9117992,,
"Raguhn, Germany","Theresienstadt, Czechoslovakia",April-May 1945,train,Evacuation due to approaching Allied forces,10699.txt,,,,
"Theresienstadt, Czechoslovakia","Kassel, Germany",May 1945,truck,"Liberated by Russians, transferred to American care",10699.txt,,,51.3157833,9.4978479
"Kassel, Germany","Pilsen, Czechoslovakia",May 1945,,Further transfer under American care,10699.txt,51.3157833,9.4978479,,
"Pilsen, Czechoslovakia","Lyon, France",May 1945,plane,Repatriation to France after liberation,10699.txt,,,45.7578137,4.8320114
"Lyon, France","Chambon-sur-Lignon, France",Summer 1945,,Convalescence after liberation,10699.txt,45.7578137,4.8320114,45.060809,4.302941
"Chambon-sur-Lignon, France","Saint-Etienne, France",Late 1945,,Settling down after convalescence,10699.txt,45.060809,4.302941,45.4401467,4.3873058
"Saint-Etienne, France","Paris, France",Late 1940s,,Moved to Paris after brother's marriage,10699.txt,45.4401467,4.3873058,,
"Paris, France","London, England",1950,,Marriage and relocation to husband's home,10699.txt,,,,
"London, England","Rochester, England",Early 1950s,,Residence with husband,10699.txt,,,,
"Rochester, England","London, England",Mid-1950s,,Returned to London after husband's death,10699.txt,,,,
Sojmy,Khust,around 1939,not mentioned,Moved to attend Hebrew school after bar mitzvah,11089.txt,,,,
Khust,Sojmy,April 1944,train,School closed due to anti-Jewish measures; returned home,11089.txt,,,,
Sojmy,Chust Ghetto,"April 1944, after Passover",horse-drawn wagon,Forced relocation to ghetto by Hungarian authorities,11089.txt,,,,
Chust Ghetto,Birkenau (Auschwitz),End of May 1944 (Shavuot),train (cattle cars),Deportation to concentration camp,11089.txt,,,50.0346203,19.1807846
Birkenau (Auschwitz),Warsaw,June 1944,open freight train,Selected as a carpenter for forced labor,11089.txt,50.0346203,19.1807846,,
Warsaw,Kutno,August 1944,forced march (death march),Evacuation due to approaching Russian forces,11089.txt,,,52.2222131,19.3874589
Kutno,Dachau,August 1944,train (cattle cars),Continued evacuation deeper into Germany,11089.txt,52.2222131,19.3874589,48.2592477,11.4354419
Dachau,Landsberg (Kaufering Lager VII),August/September 1944,not mentioned,Transferred to labor camp,11089.txt,48.2592477,11.4354419,,
Landsberg (Kaufering Lager VII),Kaufering Lager IV (sick camp),late 1944,not mentioned,Transferred due to illness and inability to work,11089.txt,,,,
Kaufering Lager IV,Allach (near Dachau),April/May 1945,forced march,Evacuation as Allies approached,11089.txt,,,,
Allach (near Dachau),Chust,May 1945,train,Return home after liberation,11089.txt,,,40.9966246,71.2273399
Chust,"Pocking (Waldstadt DP Camp), Germany",1946,not mentioned,Left Soviet-controlled area to DP camp in Germany,11089.txt,40.9966246,71.2273399,,
"Pocking (Waldstadt DP Camp), Germany",Israel,1949,ship,Immigration to Israel after marriage,11089.txt,,,30.8124247,34.8594762
Israel,"Toronto, Canada",1953,not mentioned,Moved to Canada to help wife's sick mother,11089.txt,30.8124247,34.8594762,,
"Toronto, Canada",Poland (March of the Living),April 1994,not mentioned,Participated as educator and survivor in March of the Living,11089.txt,,,,
"Lodz, Poland","Warsaw, Poland",September 1939,Walking,Father fled due to rumors that Germans would kill all men in Lodz.,11184.txt,51.7728245,19.4784857,,
"Warsaw, Poland","Lodz, Poland",October 1939,Walking,Father returned after realizing the rumors were propaganda.,11184.txt,,,51.7728245,19.4784857
"Lodz, Poland","Lodz Ghetto, Poland",1940,"Pushcart, walking",Forced relocation by German authorities into the ghetto.,11184.txt,51.7728245,19.4784857,51.7899871,19.4603117
"Lodz Ghetto, Poland","Auschwitz-Birkenau, Poland",July 1944,Train (boxcar),Deportation from Lodz Ghetto to concentration camp.,11184.txt,51.7899871,19.4603117,50.0346203,19.1807846
"Auschwitz-Birkenau, Poland","Bergen-Belsen, Germany",Late July or early August 1944,Train,Transferred after selection for forced labor.,11184.txt,50.0346203,19.1807846,52.7580569,9.9117992
"Bergen-Belsen, Germany","Geislingen, Germany",October or November 1944,Train,Transferred to work in ammunition factory.,11184.txt,52.7580569,9.9117992,48.2886289,8.8135495
"Geislingen, Germany","Allach (near Dachau), Germany",April 1945,Train,Evacuation as Allies approached.,11184.txt,48.2886289,8.8135495,,
"Allach, Germany","Tyrol region (intended destination), Austria/Germany",April 1945,Train,Further evacuation by Nazis; interrupted by liberation.,11184.txt,48.1900336,11.4681053,,
Train near Tyrol region,"Nearby village (unnamed), Germany",April 1945,Bus (provided by American liberators),Liberation by American forces.,11184.txt,,,,
"Unnamed village, Germany","Feldafing DP Camp, Germany",April or May 1945,Bus or truck,Relocation to Displaced Persons camp after liberation.,11184.txt,,,,
"Feldafing DP Camp, Germany","Konstanz, Germany",1946,Unspecified,Moved to settle temporarily after marriage.,11184.txt,,,47.659216,9.1750718
"Konstanz, Germany","Hamburg, Germany",1949,Unspecified,Travel to port city to emigrate to the United States.,11184.txt,47.659216,9.1750718,53.550341,10.000654
"Hamburg, Germany","New Orleans, USA",1949,Ship (General Stewart),Immigration to the United States.,11184.txt,53.550341,10.000654,29.9759983,-90.0782127
"New Orleans, USA","St. Louis, Missouri, USA",1949,Unspecified,Assigned settlement city by Joint Distribution Committee.,11184.txt,29.9759983,-90.0782127,,
"St. Louis, Missouri, USA","Los Angeles, California, USA",1951,"Train (husband), Plane (Rose and mother)",Moved for better climate and health reasons for her son.,11184.txt,,,34.0536909,-118.242766
Val-Palanka,Vari,around age 11-12 (circa 1939-1940),hitching rides and walking,Fleeing after being attacked by Hitler Youth,11272.txt,,,37.3983488,24.9467109
Vari,Val-Palanka,shortly after initial escape (circa 1939-1940),not specified,Returned home after initial escape,11272.txt,37.3983488,24.9467109,,
Val-Palanka,Lavik,after second attack by Hitler Youth (circa 1940-1941),not specified,Escaping further violence from Hitler Youth,11272.txt,,,,
Lavik,Budapest,after about one month in Lavik (circa 1940-1941),not specified,Seeking safety and joining brother Ben,11272.txt,,,47.4978789,19.0402383
Budapest,Val-Palanka,around age 15 (circa 1943-1944),not specified,Returned home as conditions worsened for Jews,11272.txt,47.4978789,19.0402383,,
Val-Palanka,Munkacs Ghetto,around Passover 1944,forced march,Forced relocation by Nazis,11272.txt,,,,
Munkacs Ghetto,Birkenau (Auschwitz),approximately three weeks after entering ghetto (1944),cattle car train,Deportation to concentration camp,11272.txt,,,50.0346203,19.1807846
Birkenau,Auschwitz III (Buna Werke),shortly after arrival at Birkenau (1944),truck,Transferred for forced labor,11272.txt,49.5638,8.7264,,
Auschwitz III (Buna Werke),Gleiwitz,around December 1944,forced march (death march),Evacuation due to approaching Soviet forces,11272.txt,,,,
Gleiwitz,Buchenwald,December 1944 - January 1945,open coal-carrying train cars,Further evacuation from advancing Soviet forces,11272.txt,,,50.7892991,15.2705903
Buchenwald,"Prague, Czechoslovakia",shortly after liberation (April-May 1945),American military truck,Searching for surviving family members,11272.txt,50.7892991,15.2705903,,
Prague,Val-Palanka,mid-1945,not specified,Attending brother Philip's wedding,11272.txt,50.0596288,14.4464593,,
Val-Palanka,"Vienna, Austria",mid-1945,hidden under skirt of Russian lady officer,Escaping Soviet-controlled territory,11272.txt,,,48.2083537,16.3725042
Vienna,Prague,mid-1945,not specified,Returning after escaping Soviet territory,11272.txt,48.2083537,16.3725042,50.0596288,14.4464593
Prague,"Edinburgh, Scotland",late 1945,not specified,Joining sister Rosalyn in orphanage,11272.txt,50.0596288,14.4464593,55.9533456,-3.1883749
"Edinburgh, Scotland","Nelson, Lancashire, England",1945-1946,not specified,Transferred to another orphanage,11272.txt,55.9533456,-3.1883749,,
"Nelson, Lancashire","London, England",1946,not specified,Joining brother Sam and finding employment,11272.txt,53.8363428,-2.2116469,,
"London, England","New York, USA","December 16, 1949",ship (Queen Mary),Immigrating to join family in America,11272.txt,,,40.7127281,-74.0060152
New York,"Ellwood City, Pennsylvania",late 1949,not specified,Joining brother Ben and family,11272.txt,40.7127281,-74.0060152,40.858579,-80.2895502
"Ellwood City, Pennsylvania","Chicago, Illinois",circa 1950,not specified,Employment opportunity in contact lens industry,11272.txt,40.858579,-80.2895502,41.8755616,-87.6244212
"Chicago, Illinois","Ellwood City, Pennsylvania",circa 1950-1951,not specified,Joining U.S. Army during Korean War,11272.txt,41.8755616,-87.6244212,40.858579,-80.2895502
"Ellwood City, Pennsylvania","Youngstown/Niles, Ohio",after military service (early 1950s),not specified,Starting pre-cut home business,11272.txt,40.858579,-80.2895502,41.204644,-80.7392965
"Youngstown/Niles, Ohio","Conyers, Georgia",early 1960s,not specified,Developing new community and business ventures,11272.txt,41.204644,-80.7392965,33.6676103,-84.0176904
"Tylicz, Poland","Krynica, Poland",Summers before the war (late 1930s),Walking,Summer job as a nanny and later sewing work,11274.txt,49.3964757,21.0236531,53.0336093,23.5880673
"Tylicz, Poland",Czechoslovakia,December 1939,Walking with guide (Andrej Garbera),Escape from Nazi officer who threatened her safety,11274.txt,49.3964757,21.0236531,48.257918,14.5007688
Czechoslovakia,"Tylicz, Poland",Spring 1940,Walking with hired guide,Rumors of displacement of Jews; returned to help elderly parents,11274.txt,48.257918,14.5007688,49.3964757,21.0236531
"Tylicz, Poland","Florynka, Poland",Fall 1940,Horse and buggy,Forced displacement by Nazis away from Slovakian border,11274.txt,49.3964757,21.0236531,49.5479,20.98453
"Florynka, Poland",Czechoslovakia,December 1940,Sled with guide (Tolek),Escape due to rumors of Nazis taking Jewish girls as prostitutes,11274.txt,49.5479,20.98453,48.257918,14.5007688
"Bratislava, Czechoslovakia","Humenne, Czechoslovakia",Fall 1941,Not specified,Moved to smaller town due to rumors of Nazis taking young Jewish girls,11274.txt,,,,
"Humenne, Czechoslovakia","Auschwitz (Oświęcim), Poland",March 1942,Train (cattle car),Deported by Nazis after turning herself in to protect host family,11274.txt,,,50.0346203,19.1807846
"Auschwitz I, Poland","Birkenau (Auschwitz II), Poland",September or October 1942,Walking,Transferred by Nazis to Birkenau camp,11274.txt,50.0264016,19.2039639,50.0346203,19.1807846
"Birkenau, Poland","SS Laundry (near Auschwitz), Poland",October 1943,Walking,Selected by Mengele for work detail in SS laundry,11274.txt,,,,
"SS Laundry, Auschwitz, Poland","Neustadt-Glewe, Germany (via Ravensbrück)","January 18, 1945","Walking (death march), then train, then walking again",Forced evacuation (death march) as Allies approached,11274.txt,50.0254715,19.2028125,,
"Neustadt-Glewe, Germany","Ludwigslust, Germany (American zone)",After liberation (May 1945),Walking,Seeking safety and assistance from American forces after liberation,11274.txt,53.393252,11.5753248,,
"Ludwigslust, Germany",Netherlands,1945,Military trucks (Allied transport),Relocation after liberation; seeking refuge and new life,11274.txt,53.3300229,11.4993644,52.2434979,5.6343227
Netherlands,United States,1954,Not specified (likely ship),Immigration to start a new life with husband and children,11274.txt,52.2434979,5.6343227,,
Plonsk,Warsaw,September 1939,Walking,Fleeing German invasion; belief Warsaw would be safer,11296.txt,,,,
Warsaw,Plonsk,October 1939,Walking,Returning home after Warsaw fell to Germans,11296.txt,,,,
Plonsk,Plonsk Ghetto,Spring 1940,Walking,Forced relocation by Germans into the ghetto,11296.txt,,,,
Plonsk Ghetto,Auschwitz-Birkenau,"December 14, 1942",Train,Deportation by Germans to concentration camp,11296.txt,,,50.0346203,19.1807846
Auschwitz-Birkenau,Ravensbruck,"January 18, 1945","Walking, then open train wagons",Forced evacuation (death march) due to approaching Russian army,11296.txt,50.0346203,19.1807846,53.1895808,13.1707778
Ravensbruck,Neustadt-Glewe,March 1945,Not specified,Transferred due to overcrowding at Ravensbruck,11296.txt,53.1895808,13.1707778,53.393252,11.5753248
Neustadt-Glewe,"Lodz, Poland",May 1945,"Horse-drawn wagon, walking",Returning home after liberation by Russian army,11296.txt,53.393252,11.5753248,51.7728245,19.4784857
Lodz,Plonsk,Late 1945,Train,Returning to hometown to search for survivors,11296.txt,51.7728245,19.4784857,,
Plonsk,Plock,Late 1945,Not specified,Seeking safer and more welcoming community,11296.txt,,,52.5353471,19.7136301
Plock,"Berlin, Germany",Early 1946,Not specified,Fleeing anti-Semitic violence in Poland,11296.txt,52.5353471,19.7136301,52.510885,13.3989367
Berlin,"Hanover, Germany",1946,Not specified,Relocation within Germany,11296.txt,,,52.3744779,9.7385532
Hanover,"Frankfurt am Main, Germany",1946,Not specified,Further relocation within Germany,11296.txt,52.3744779,9.7385532,50.1106444,8.6820917
